emp_no,first_name,last_name,title,from_date,to_date,recenttitle
10095,Hilari,Morton,Senior Staff,2000-03-09,9999-01-01,1
10122,Ohad,Esposito,Technique Leader,1998-08-06,9999-01-01,1
10291,Dipayan,Seghrouchni,Senior Staff,1994-03-30,9999-01-01,1
10476,Kokou,Iisaka,Senior Staff,1994-09-20,9999-01-01,1
10663,Teunis,Noriega,Technique Leader,1993-01-23,9999-01-01,1
10762,Lech,Himler,Senior Staff,1999-01-21,9999-01-01,1
10933,Juyoung,Seghrouchni,Senior Engineer,1993-08-02,9999-01-01,1
12155,Keiichiro,Glinert,Senior Engineer,2001-09-16,9999-01-01,1
12408,Rasiah,Sudkamp,Senior Engineer,1995-04-18,9999-01-01,1
12643,Morrie,Schurmann,Staff,1998-12-31,9999-01-01,1
13499,Kazuhiko,Sidou,Technique Leader,1991-09-01,9999-01-01,1
14075,Denny,Tchuente,Engineer,1998-05-30,9999-01-01,1
14104,Sudhanshu,Demian,Senior Staff,1999-07-23,9999-01-01,1
14127,Magdalena,Cannard,Senior Engineer,2002-04-22,9999-01-01,1
14158,Caolyn,Setiz,Senior Staff,1996-02-06,9999-01-01,1
14476,Sastry,Marrevee,Engineer,1999-09-25,9999-01-01,1
14907,Nakhoon,Luga,Senior Staff,1994-12-18,9999-01-01,1
15050,Nikolaos,Kruskal,Senior Engineer,1996-12-16,9999-01-01,1
15058,Bouchung,Bugrara,Senior Staff,1998-06-18,9999-01-01,1
15413,Arvin,Rabejac,Senior Engineer,2002-01-01,9999-01-01,1
16461,Remmert,Schahn,Senior Staff,1994-09-06,9999-01-01,1
16528,Gaurav,Swick,Engineer,2001-05-07,9999-01-01,1
17013,Morris,Garigliano,Senior Staff,2000-05-23,9999-01-01,1
17206,Berry,DeMori,Senior Engineer,1998-12-27,9999-01-01,1
17369,Yaghout,Kenevan,Senior Engineer,1998-01-28,9999-01-01,1
17447,Zengping,Boreale,Staff,1998-12-16,9999-01-01,1
17731,Gennady,Roison,Engineer,1997-12-06,9999-01-01,1
17970,Filipp,Carrere,Technique Leader,1989-01-09,9999-01-01,1
17988,Mabhin,Calkin,Senior Engineer,1997-11-30,9999-01-01,1
18021,Adil,Matzke,Senior Engineer,1995-05-08,9999-01-01,1
18424,Filipp,Rousseau,Senior Engineer,2002-06-07,9999-01-01,1
18583,Stafford,Honglei,Staff,1998-08-16,9999-01-01,1
18617,Surveyors,Crouzet,Senior Staff,1998-04-24,9999-01-01,1
18810,Taiji,Jarecki,Senior Engineer,1999-06-27,9999-01-01,1
19236,Elzbieta,Morris,Senior Engineer,1993-07-12,9999-01-01,1
19350,Satoru,Yoshizawa,Senior Staff,1999-03-27,9999-01-01,1
19803,Ziva,Kowalchuk,Senior Engineer,1992-06-12,9999-01-01,1
20100,Utz,Heuter,Senior Staff,1995-06-15,9999-01-01,1
20128,Kazunori,Peak,Senior Staff,1999-08-13,9999-01-01,1
20129,Rafael,Skafidas,Senior Engineer,2000-03-27,9999-01-01,1
20248,Vidar,Demri,Staff,1999-12-31,9999-01-01,1
20313,Candida,Benveniste,Engineer,1999-01-20,9999-01-01,1
20500,Christoph,Trystram,Senior Staff,1998-10-15,9999-01-01,1
20885,Otmar,Rothenberg,Senior Engineer,1996-03-14,9999-01-01,1
21181,Jianhui,Cangellaris,Engineer,1999-10-06,9999-01-01,1
21188,Piyush,Danecki,Engineer,2000-01-08,9999-01-01,1
21546,Yongmin,Lanteri,Senior Staff,1988-02-16,9999-01-01,1
21843,Karsten,Azadmanesh,Senior Engineer,1985-11-29,9999-01-01,1
